symbol,entry_date,ml_rank,regime,signals_aligned,insider_confirmed,vix_rising,vix,equity_return,call_cost,call_pnl,call_return,kelly_fraction,kelly_weighted_pnl
AAPL,2019-11-06,0.853904282115869,TRENDING_BULL,2,False,True,12.619999885559082,0.023130199163862934,1.3960574468250087,1.2576872990019823,0.9008850616156839,0.2,0.1801770123231368
MSFT,2019-12-03,0.9269521410579346,CHOPPY,2,False,True,15.960000038146973,0.036032449070941976,4.099087811205218,4.74840494046806,1.1584052743363722,0.2,0.23168105486727444
LLY,2019-12-05,0.8639798488664987,CHOPPY,2,False,True,14.520000457763672,0.09251072698506793,2.9914387355812218,10.757027628898742,3.5959378010824294,0.2,0.7191875602164859
NVDA,2019-12-09,0.9874055415617128,CHOPPY,2,False,True,15.859999656677246,0.12560687346736527,0.14470801452002044,0.654536717620667,4.5231545729632785,0.2,0.9046309145926558
ISRG,2019-12-23,0.8844221105527639,TRENDING_BULL,2,False,True,12.609999656677246,-0.026179236446024802,4.319555134944662,-0.8849847374823772,-0.20487867612175178,0.2,-0.04097573522435036
MSFT,2019-12-31,0.8592964824120602,TRENDING_BULL,2,False,True,13.779999732971191,0.03474949799357079,3.7380606161881227,4.900108243094958,1.3108691233829777,0.2,0.26217382467659556
ADBE,2020-01-22,0.9271356783919598,TRENDING_BULL,2,False,True,12.90999984741211,0.04424952963036628,7.773814407942171,14.344333435865096,1.8452117175848846,0.2,0.36904234351697696
FTNT,2020-01-27,0.9346733668341708,TRENDING_BULL,2,False,True,18.229999542236328,0.037577585527952456,0.7176653705948014,0.7503259485422603,1.0455094801639793,0.2,0.20910189603279586
NVDA,2020-01-22,0.9974874371859296,TRENDING_BULL,2,False,True,12.90999984741211,0.002598877889344189,0.1388553898060707,-0.008935657618211579,-0.0643522561903529,0.2,-0.01287045123807058
MSFT,2020-01-29,0.9020100502512562,TRENDING_BULL,2,False,True,16.389999389648438,0.099202654687978,4.737585255589514,16.184388242683987,3.4161682311868193,0.2,0.6832336462373639
AMZN,2020-01-29,0.8969849246231156,TRENDING_BULL,2,False,True,16.389999389648438,0.1625403468902498,2.6191483876330737,14.966972499604418,5.714442362362708,0.2,1.1428884724725417
CL,2020-02-20,0.9874371859296482,CHOPPY,2,False,True,15.5600004196167,-0.03752005304438813,2.0116936380504593,-0.4307808853056636,-0.21413841409924383,0.2,-0.04282768281984877
