symbol,entry_date,engine,side,regime,hold_days,ml_rank,opt_type,strike,sigma,entry_price,exit_price,equity_return,options_return,leverage,eq_pnl_1k,opt_pnl_1k,options_better
LLY,2017-09-01,momentum,long,CHOPPY,26,0.8578947368421053,30d_call_30DTE,80.16,0.13169000148773194,81.70308091735839,84.48070152282715,0.03399652221534072,0.871653644598444,35.10662510680608,33.99652221534072,871.653644598444,True
BMY,2017-09-01,momentum,long,CHOPPY,26,0.8789473684210526,30d_call_30DTE,59.34,0.13169000148773194,60.480720611572266,62.824100761413575,0.0387459032588466,1.0387863775615989,35.12913273376645,38.74590325884661,1038.7863775615988,True
ADBE,2017-09-15,momentum,long,TRENDING_BULL,12,0.913157894736842,30d_call_30DTE,152.26,0.13221000099182126,155.20979388427733,147.20222645121757,-0.05159189528355481,-0.9405514039399393,34.94201484143917,-51.591895283554805,-940.5514039399393,False
AAPL,2017-09-06,momentum,long,CHOPPY,22,0.9105263157894736,30d_call_30DTE,39.88,0.15119000148773193,40.75885668182373,38.27248438235333,-0.061002012860169,-0.9876385920695744,31.01201386043189,-61.002012860168996,-987.6385920695744,False
NOW,2017-09-07,momentum,long,CHOPPY,26,0.9210526315789472,30d_call_30DTE,22.62,0.15015000247955324,23.112131984710693,23.518867984771727,0.017598376485998837,0.23193332629016306,31.29353547333315,17.598376485998838,231.93332629016305,True
MSFT,2017-09-15,momentum,long,TRENDING_BULL,26,0.868421052631579,30d_call_30DTE,73.56,0.13221000099182126,74.9796618347168,76.26715817260742,0.01717127426806423,0.2792590309596685,35.004264285633624,17.17127426806423,279.25903095966845,True
INTU,2017-09-15,momentum,long,TRENDING_BULL,26,0.9236842105263158,30d_call_30DTE,139.44,0.13221000099182126,142.13370611572265,143.37268365478516,0.008716986089518871,-0.014276744210981355,34.98855870073121,8.71698608951887,-14.276744210981354,False
NEM,2017-09-19,momentum,long,TRENDING_BULL,27,0.936842105263158,30d_call_30DTE,37.17,0.13234000396728512,37.8856213760376,37.914021675109865,0.000749632658532293,-0.29466906996543124,35.02846721421774,0.749632658532293,-294.6690699654312,False
PH,2017-09-28,momentum,long,TRENDING_BULL,26,0.9342105263157896,30d_call_30DTE,172.0,0.12415000247955323,175.12955877685548,184.09108670043943,0.05117084737821131,1.5689336325926528,36.978376484121085,51.170847378211306,1568.933632592653,True
EMR,2017-09-28,momentum,long,TRENDING_BULL,26,0.9236842105263158,30d_call_30DTE,62.13,0.12415000247955323,63.25626107025146,66.60651786804199,0.0529632441296172,1.6373621474571836,37.04241594482702,52.963244129617195,1637.3621474571837,True
CSX,2017-10-04,momentum,long,TRENDING_BULL,22,0.8661417322834646,30d_call_30DTE,17.05,0.12519000148773193,17.364659923553468,16.98144595423598,-0.022068613552154608,-0.8006575686605127,36.601889080784524,-22.06861355215461,-800.6575686605127,False
CAT,2017-10-04,momentum,long,TRENDING_BULL,26,0.926509186351706,30d_call_30DTE,123.67,0.12519000148773193,125.94138244628904,136.21702548217775,0.0815906800155304,2.67048567799632,36.68421415737941,81.5906800155304,2670.4856779963206,True
NVDA,2017-10-05,momentum,long,TRENDING_BULL,26,0.910761154855643,30d_call_30DTE,4.48,0.11946999454498292,4.555593206405639,5.159909439086914,0.13265368642475436,4.82726320168685,38.93195171802591,132.65368642475437,4827.26320168685,True
ANET,2017-10-25,momentum,long,TRENDING_BULL,8,0.8717277486910995,30d_call_30DTE,11.77,0.14598999404907229,12.025252767562868,11.425762317488324,-0.04985262777108689,-0.8751147703169404,31.734206418863604,-49.85262777108689,-875.1147703169404,False
MSFT,2017-10-12,momentum,long,TRENDING_BULL,25,0.8923884514435696,30d_call_30DTE,75.22,0.12882999801635744,76.64297785949707,84.30106121826172,0.09991891720078462,3.2531547216550387,35.73393168628828,99.91891720078462,3253.154721655039,True
INTU,2017-10-12,momentum,long,TRENDING_BULL,25,0.9238845144356956,30d_call_30DTE,141.27,0.12882999801635744,143.93729388427735,152.37463269042968,0.058618156410080724,1.778566965890601,35.766294443311416,58.61815641008072,1778.5669658906013,True
AAPL,2017-10-17,momentum,long,TRENDING_BULL,22,0.8769633507853403,30d_call_30DTE,39.26,0.1340300054550171,40.02488969421387,43.97188137054443,0.09861343045502889,3.107953725332513,34.641906171745006,98.61343045502889,3107.9537253325125,True
FDX,2017-11-07,meanrev,long,CHOPPY,6,0.9634464751958224,ATM_call_21DTE,221.56,0.1285700044631958,221.55999755859375,220.9871326904297,-0.0025855970142469463,-0.3412831379821985,74.228169375496,-2.585597014246946,-341.28313798219847,False
LLY,2017-10-25,momentum,long,TRENDING_BULL,21,0.986910994764398,30d_call_30DTE,84.29,0.14598999404907229,86.08182366943359,81.76995165047023,-0.05009038883192759,-0.9724081056569508,32.03156632600378,-50.09038883192759,-972.4081056569507,False
AVGO,2017-11-13,meanrev,long,CHOPPY,2,0.9817232375979112,ATM_call_21DTE,26.25,0.14950000000000002,26.25,26.5068794670105,0.009785884457542828,0.2365776048246835,64.65192366424212,9.785884457542828,236.5776048246835,True
ORCL,2017-10-27,momentum,long,TRENDING_BULL,24,0.8638743455497382,30d_call_30DTE,49.47,0.12740000247955321,50.3905809173584,48.92196045684815,-0.029144741611906,-0.9184081939038505,36.184324765673495,-29.144741611906003,-918.4081939038506,False
AMAT,2017-10-31,momentum,long,TRENDING_BULL,22,0.8769633507853403,30d_call_30DTE,55.1,0.13234000396728512,56.16209923553467,57.56464030456543,0.024973088401641343,0.5682323914137775,35.00893762248395,24.97308840164134,568.2323914137773,True
INTC,2017-11-21,meanrev,long,CHOPPY,3,0.9686684073107048,ATM_call_21DTE,44.72,0.12648999404907227,44.720001220703125,44.6605,-0.0013305281547170427,-0.21710547137167951,75.33655562240406,-1.3305281547170427,-217.1054713716795,False
PH,2017-11-01,momentum,long,TRENDING_BULL,26,0.9476439790575916,30d_call_30DTE,181.51,0.1325999975204468,185.02932366943355,183.44237756347655,-0.008576727593687666,-0.5695702148037242,34.883716101872736,-8.576727593687666,-569.5702148037241,False
MU,2017-11-06,momentum,long,TRENDING_BULL,22,0.8668407310704961,30d_call_30DTE,43.16,0.12219999504089354,43.93769847106934,47.83414030456543,0.08868106362152066,3.0110402063151644,37.40179816828743,88.68106362152065,3011.040206315164,True
RH,2017-11-22,meanrev,long,CHOPPY,6,0.9947780678851176,ATM_call_21DTE,97.87,0.12844000148773194,97.87000274658205,101.88581634521483,0.041032118993917524,2.1968044376249907,74.29638539359317,41.03211899391752,2196.804437624991,True
AAPL,2017-11-29,momentum,long,CHOPPY,27,0.9634464751958224,30d_call_30DTE,42.38,0.1390999975204468,43.243816223144535,42.55721682739258,-0.015877400648661527,-0.7432405317615342,33.37164315357994,-15.877400648661528,-743.2405317615342,False
OXY,2017-12-07,momentum,long,CHOPPY,26,0.9399477806788512,30d_call_30DTE,67.91,0.13207999801635745,69.2181618347168,73.83204335021972,0.06665709393612941,2.013810204952199,35.04993555366866,66.65709393612941,2013.810204952199,True
ITW,2017-12-13,momentum,long,CHOPPY,26,0.8851174934725848,30d_call_30DTE,161.31,0.13234000396728512,164.43822061157226,167.23486730957032,0.01700727901090681,0.27386672053971894,34.910864423394884,17.00727901090681,273.8667205397189,True
AMZN,2017-12-14,momentum,long,TRENDING_BULL,26,0.856396866840731,30d_call_30DTE,57.16,0.13636999702453614,58.30187210083008,62.50972832489013,0.07217360390731162,2.1326830537926695,33.98116973442343,72.17360390731162,2132.6830537926694,True
SHOP,2017-12-14,momentum,long,TRENDING_BULL,26,0.9608355091383812,30d_call_30DTE,10.18,0.13636999702453614,10.383725915908814,11.050853954315183,0.06424746221240958,1.8621308145027986,33.95299623674195,64.24746221240957,1862.1308145027988,True
SCHW,2017-12-14,momentum,long,TRENDING_BULL,26,0.9556135770234988,30d_call_30DTE,49.65,0.13636999702453614,50.6410809173584,53.233320152282715,0.0511884657271556,1.419949634168161,33.99338508119236,51.1884657271556,1419.949634168161,True
INTU,2017-12-27,momentum,long,TRENDING_BULL,26,0.91644908616188,30d_call_30DTE,156.18,0.13611000347137453,159.28794122314454,168.3326581726074,0.05678218250553087,1.6140355617313369,34.070922483101796,56.78218250553086,1614.0355617313369,True
FTNT,2017-12-27,momentum,long,TRENDING_BULL,26,0.9138381201044388,30d_call_30DTE,8.68,0.13611000347137453,8.857680152893066,9.151660076141356,0.033189268315617804,0.804756448157222,33.62170872597321,33.1892683156178,804.7564481572219,True
NVDA,2017-12-21,momentum,long,TRENDING_BULL,39,0.9738903394255874,30d_call_30DTE,4.84,0.12505999851226807,4.933347061157226,6.158907366752625,0.24842369498891814,8.586803650847175,35.859250474312475,248.42369498891816,8586.803650847174,True
