symbol,earnings_date,entry_date,beat_streak,surprise,entry_price,exit_price,mom_60d,above_sma200,vix_at_entry,equity_return,call_cost,call_pnl,call_return,hold_days
APA,2025-12-31,2025-12-11,4,0.4173,25.950000762939453,25.36000061035156,0.07899811499569946,True,14.850000381469728,-0.02273603604014163,0.6186799786927621,-0.5624801725053427,-0.9091617506256358,22
ANF,2026-01-31,2026-01-09,4,0.0312,124.87000274658205,101.4499969482422,0.43052775649676206,True,14.489999771118164,-0.18755509956918695,2.9048835151885712,-2.7149025271499694,-0.9345994470878916,24
IMAX,2025-06-30,2025-06-10,4,0.1515,27.3700008392334,27.329999923706055,0.09207162515506354,True,16.950000762939453,-0.001461487552094066,0.74481215402176,-0.6714883974090124,-0.9015540277950332,21
IMAX,2025-09-30,2025-09-10,4,0.2032,31.049999237060547,32.9900016784668,0.05829305991679414,True,15.350000381469728,0.06247995133895878,0.7651951462811354,1.2549614580217332,1.6400541275266478,21
IMAX,2025-12-31,2025-12-11,4,0.2288,38.29999923706055,36.02000045776367,0.15639681417991727,True,14.850000381469728,-0.0595299954233592,0.9131191528039615,-0.8332959274144958,-0.9125818080320093,22
EL,2025-09-30,2025-09-10,4,0.8188,87.43000030517578,86.19999694824219,0.14686039028327716,True,15.350000381469728,-0.014068435921768818,2.1546220134210894,-1.9451861769389327,-0.9027969475956406,21
EL,2025-12-31,2025-12-11,4,0.066,105.55999755859376,106.76000213623048,0.16635087120806952,True,14.850000381469728,0.011367986030604307,2.5166803514560345,-1.0800870007821581,-0.4291713090052417,22
LH,2025-03-31,2025-03-11,4,0.028199999,239.25,232.6499938964844,0.04062696434985632,True,26.920000076293945,-0.0275862324075887,10.340206819255556,-9.348887758203523,-0.9041296679669891,21
LH,2025-06-30,2025-06-10,4,0.040900003,259.3699951171875,264.260009765625,0.07302310520863778,True,16.950000762939453,0.018853432318677085,7.058162909331378,-1.4591641155360948,-0.2067342641818283,21
LH,2025-09-30,2025-09-10,4,0.0101,272.94000244140625,279.05999755859375,0.03290104384114938,True,15.350000381469728,0.02242249235159774,6.726324322895443,0.0716889623493655,0.010657969926508979,21
DOV,2025-12-31,2025-12-11,4,0.0097,201.27999877929688,195.75,0.1414944152437487,True,14.850000381469728,-0.027474159443733444,4.798763071093986,-4.364965287323551,-0.909602166778461,22
CVX,2025-09-30,2025-09-10,4,0.083900005,157.7899932861328,154.5800018310547,0.07452940621849592,True,15.350000381469728,-0.020343441229870637,3.8885713352987517,-3.5129960089290857,-0.9034156007476686,21
PODD,2025-06-30,2025-06-10,4,0.2681,298.7300109863281,299.989990234375,0.12419243041909696,True,16.950000762939453,0.00421778596628693,8.129255978492072,-6.064432489991095,-0.7460009262884609,21
PODD,2025-09-30,2025-09-10,4,0.080699995,337.6099853515625,305.9800109863281,0.09188113610256496,True,15.350000381469728,-0.09368791131073098,8.320049226240085,-7.5766248432181325,-0.9106466364793476,21
D,2025-03-31,2025-03-11,4,0.2316,55.13999938964844,56.2599983215332,0.015778000390186668,True,26.920000076293945,0.020311914114656767,2.3831097082657893,-1.02338754330969,-0.42943366801791866,21
D,2025-09-30,2025-09-10,4,0.105100006,59.41999816894531,60.900001525878906,0.07892963263603935,True,15.350000381469728,0.024907495835418725,1.4643444543676993,0.16362460109133004,0.11173914757780318,21
VLO,2025-09-30,2025-09-10,4,0.1988,158.5,167.6699981689453,0.1308517696729594,True,15.350000381469728,0.057854878037509855,3.906068717090302,5.671308889937355,1.4519224572582559,21
VLO,2025-12-31,2025-12-11,4,0.16950001,171.91000366210938,165.30999755859375,0.04688498276363106,True,14.850000381469728,-0.03839221664195875,4.098546214867202,-3.7322059309539766,-0.910617017667301,22
OKTA,2025-04-30,2025-04-10,4,0.1149,101.62999725341795,111.86000061035156,0.171504484662274,True,40.720001220703125,0.10065928990851723,6.644035102951559,4.306939516440121,0.648241535407722,21
EMR,2025-06-30,2025-06-10,4,0.0069,126.94000244140624,135.50999450683594,0.10516784186826994,True,16.950000762939453,0.06751214668823953,3.4543826726663487,5.479169651949283,1.586150166657724,21
EMR,2025-09-30,2025-09-10,4,0.0028,133.6699981689453,131.19000244140625,0.0373307814881332,True,15.350000381469728,-0.018553121579343478,3.294158979566153,-2.9754131689844,-0.9032390930252757,21
EMR,2025-12-31,2025-12-11,4,0.0339,139.57000732421875,135.82000732421875,0.054882877840045655,True,14.850000381469728,-0.02686823675009785,3.3275208716300333,-3.0265327839215774,-0.9095458452944241,22
DGX,2025-03-31,2025-03-11,4,0.0278,168.14999389648438,169.27999877929688,0.07410045737348453,True,26.920000076293945,0.006720219588637914,7.267317506985195,-5.416012414212458,-0.7452560603010256,21
DGX,2025-06-30,2025-06-10,4,0.0187,177.44000244140625,179.3300018310547,0.022317440596152212,True,16.950000762939453,0.010651484240553637,4.828625004591406,-2.457500498062955,-0.5089441602373731,21
THC,2025-06-30,2025-06-10,4,0.4009,156.55999755859375,177.42999267578125,0.18242206185462514,True,16.950000762939453,0.1333034966954234,4.260423289724816,17.085599402840607,4.0103056060291555,21
