symbol,entry_date,ml_rank,regime,sector_etf,sector_outperf,entry_price,exit_price,put_strike,put_premium,stock_return,put_pnl,put_return_on_capital,assigned
NOW,2018-02-23,0.9661458333333334,CHOPPY,XLK,0.030789652231536513,32.08000183105469,32.56399917602539,31.094215967879645,0.39431434527001663,0.015087198171609046,0.39431434527001663,1.268127634018313,False
CME,2018-03-12,0.8984375,CHOPPY,XLF,0.004278343383728123,169.17999267578125,164.2100067138672,164.20510195827723,1.989956287001607,-0.02937691321123656,1.989956287001607,1.2118723859793552,False
FTNT,2018-03-07,0.9348958333333334,CHOPPY,XLK,0.048101021772436026,10.494000434875488,10.894000053405762,10.14669498626955,0.13892217944237537,0.03811698131828974,0.13892217944237537,1.3691372375967157,False
VST,2018-04-03,0.948051948051948,CHOPPY,XLE,0.04582546686371847,20.780000686645508,23.13999938964844,19.962937633579674,0.3268252212263342,0.11357067492878438,0.3268252212263342,1.6371599572428719,False
OXY,2018-04-13,0.9532467532467532,CHOPPY,XLE,0.10169567192624251,73.62999725341797,84.2699966430664,71.2411900314666,0.9555228887805431,0.1445063124615901,0.9555228887805431,1.341250600051034,False
NEM,2018-04-23,0.9818652849740932,CHOPPY,XLB,0.01714399382202303,41.060001373291016,39.59000015258789,39.80974646673863,0.500101962620954,-0.03580129497168846,0.2803556484702141,0.7042387187882584,True
MRVL,2018-05-21,0.9870466321243524,CHOPPY,XLK,0.0238818822394129,21.440000534057617,21.239999771118164,20.917411749370636,0.20903551387479224,-0.009328393561453055,0.20903551387479224,0.9993373768199677,False
PSTG,2018-05-23,0.9689119170984456,CHOPPY,XLK,0.03379765325218531,21.709999084472656,23.0,21.201057432217315,0.2035766609021371,0.05941966697041334,0.2035766609021371,0.9602193737411427,False
MSFT,2018-05-15,0.9533678756476685,CHOPPY,XLK,0.021136414524542735,97.31999969482422,100.12999725341795,94.6667753093528,1.0612897541885693,0.028873793335443057,1.0612897541885693,1.1210794396666397,False
AAPL,2018-05-21,0.9766839378238342,CHOPPY,XLK,0.0238818822394129,46.907501220703125,46.3650016784668,45.76415544434968,0.4573383105413765,-0.011565304655300849,0.4573383105413765,0.9993373768199676,False
ADBE,2018-05-22,0.8626943005181347,CHOPPY,XLK,0.025222201934597566,238.7899932861328,243.6300048828125,232.90731444693876,2.3530715356776306,0.020268904613938696,2.3530715356776306,1.0103038375008657,False
VST,2018-07-06,0.9974160206718348,CHOPPY,XLE,0.010841644566570663,22.90999984741211,23.469999313354492,22.339199745981997,0.2283200405720451,0.02444345131698636,0.2283200405720451,1.0220600700484426,False
ANF,2018-07-13,0.9741602067183462,CHOPPY,XLY,0.008165429884995357,25.15999984741211,29.260000228881836,24.58893492422468,0.2284259692749707,0.16295709087182056,0.2284259692749707,0.9289787051733118,False
MPWR,2018-07-26,0.9948320413436692,CHOPPY,XLK,0.006911149073912215,136.16000366210938,149.27999877929688,133.07968387804266,1.23212791362669,0.09635718833957797,1.23212791362669,0.9258572591409527,False
NVDA,2018-07-17,0.9819121447028424,CHOPPY,XLK,0.004540245077220728,6.342249870300293,6.435999870300293,6.199715952410579,0.05701356715588545,0.01478182063419099,0.05701356715588545,0.9196157951997362,False
ADBE,2018-07-20,0.9276485788113696,CHOPPY,XLK,0.00010782880012083496,257.5400085449219,251.5,251.36818906960605,2.4687277901263287,-0.023452699947660114,2.4687277901263287,0.9821162332687675,False
MSFT,2018-07-23,0.9844961240310076,CHOPPY,XLK,0.010070017096063921,107.97000122070312,107.05999755859376,105.43084156502266,1.0156638622721845,-0.008428300933786307,1.0156638622721845,0.9633460638230715,False
AAPL,2018-07-26,0.9147286821705426,CHOPPY,XLK,0.006911149073912215,48.5525016784668,54.48500061035156,47.45410840978526,0.4393573074726142,0.12218729677766223,0.4393573074726142,0.9258572591409527,False
