symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,regime,year
DXCM,2017-12-05,2017-12-14,14.529,14.528384885787965,517,-0.31801404762219576,regime_exit,9,CHOPPY,2017
TTD,2017-12-05,2017-12-14,4.516013969421387,4.887205836296082,1664,617.6632664794928,regime_exit,9,CHOPPY,2017
SEDG,2018-02-06,2018-02-15,34.569,45.75829847717285,217,2428.077769546508,take_profit,9,CHOPPY,2018
PLUG,2018-02-06,2018-02-26,1.8436800334453582,1.9560800380706789,4076,458.1424188528069,max_hold,20,CHOPPY,2018
SMCI,2018-02-06,2018-02-26,1.9589100430011748,1.8862199857234956,3836,-278.83905971717735,max_hold,20,CHOPPY,2018
CMG,2018-02-15,2018-03-07,5.744465801239014,6.386202167510986,1308,839.3911670837401,max_hold,20,CHOPPY,2018
EXAS,2018-02-26,2018-03-09,42.6451213760376,52.04570152282715,176,1654.502105834961,take_profit,11,CHOPPY,2018
PCRX,2018-02-26,2018-03-15,31.863599235534668,30.089699619293214,235,-416.8664098167418,regime_exit,17,CHOPPY,2018
AVAV,2018-03-07,2018-03-15,43.09601831817627,48.482841827392576,174,937.3072906036373,regime_exit,8,CHOPPY,2018
RH,2018-03-09,2018-03-15,77.96561755371094,76.3969030456543,96,-150.5965927734378,regime_exit,6,CHOPPY,2018
CELH,2018-03-29,2018-04-11,1.4529000477790832,1.8596063208580018,5172,2103.484844364167,take_profit,13,CHOPPY,2018
AVAV,2018-03-29,2018-04-12,45.60101831817627,55.648478324890135,164,1647.7834411010735,take_profit,14,CHOPPY,2018
ALB,2018-03-29,2018-04-18,92.92547785949705,98.59242091369629,80,453.35544433593896,max_hold,20,CHOPPY,2018
INCY,2018-04-12,2018-04-24,69.9696618347168,62.22529847717285,107,-828.6468792572031,stop,12,CHOPPY,2018
ACAD,2018-04-18,2018-04-25,20.0199595413208,15.169599809646606,375,-1818.8848993778236,stop,7,CHOPPY,2018
ZS,2018-04-11,2018-04-27,27.7654190826416,28.65257908630371,270,239.5332009887698,regime_exit,16,CHOPPY,2018
INCY,2018-04-24,2018-04-27,62.47469847106934,62.83407908630371,120,43.125673828124604,regime_exit,3,CHOPPY,2018
PM,2018-04-25,2018-04-27,81.97361755371094,82.39487756347657,91,38.334660888672516,regime_exit,2,CHOPPY,2018
