symbol,ml_score,px,vol60,candidate,regime,date,rank
EMR,0.485,128.42,0.363,False,CHOPPY,2026-03-26,284
PANW,0.4849,156.4,0.382,False,CHOPPY,2026-03-26,285
CAG,0.4847,15.35,0.354,False,CHOPPY,2026-03-26,286
TREX,0.4845,36.58,0.344,False,CHOPPY,2026-03-26,287
AVY,0.4845,169.46,0.227,False,CHOPPY,2026-03-26,288
HD,0.4844,328.02,0.245,False,CHOPPY,2026-03-26,289
MPLX,0.4843,58.94,0.163,False,CHOPPY,2026-03-26,290
EIX,0.4842,71.05,0.266,False,CHOPPY,2026-03-26,291
OKE,0.4839,93.98,0.292,False,CHOPPY,2026-03-26,292
LNC,0.4836,35.77,0.417,False,CHOPPY,2026-03-26,293
ROK,0.4832,359.14,0.328,False,CHOPPY,2026-03-26,294
NEE,0.483,91.2,0.205,False,CHOPPY,2026-03-26,295
F,0.4828,11.6,0.306,False,CHOPPY,2026-03-26,296
KO,0.4825,75.28,0.171,False,CHOPPY,2026-03-26,297
SJM,0.4825,95.41,0.304,False,CHOPPY,2026-03-26,298
CMCSA,0.4823,28.7,0.25,False,CHOPPY,2026-03-26,299
DRVN,0.4822,12.74,0.731,False,CHOPPY,2026-03-26,300
PHM,0.4821,117.18,0.348,False,CHOPPY,2026-03-26,301
UHS,0.4821,186.34,0.395,False,CHOPPY,2026-03-26,302
NVR,0.4821,6556.38,0.282,False,CHOPPY,2026-03-26,303
NTAP,0.4816,105.09,0.388,False,CHOPPY,2026-03-26,304
EXP,0.4816,183.85,0.402,False,CHOPPY,2026-03-26,305
VRTX,0.4816,456.06,0.354,False,CHOPPY,2026-03-26,306
PG,0.4815,143.28,0.207,False,CHOPPY,2026-03-26,307
CNK,0.4813,27.92,0.348,False,CHOPPY,2026-03-26,308
EOG,0.4808,148.56,0.285,False,CHOPPY,2026-03-26,309
PENN,0.4806,14.54,0.663,False,CHOPPY,2026-03-26,310
CCI,0.4806,77.54,0.351,False,CHOPPY,2026-03-26,311
ZBRA,0.4805,206.6,0.448,False,CHOPPY,2026-03-26,312
TMUS,0.4803,212.45,0.266,False,CHOPPY,2026-03-26,313
AFL,0.4803,107.58,0.175,False,CHOPPY,2026-03-26,314
DOV,0.48,211.43,0.258,False,CHOPPY,2026-03-26,315
ON,0.4799,61.91,0.439,False,CHOPPY,2026-03-26,316
T,0.4798,29.1,0.262,False,CHOPPY,2026-03-26,317
DXCM,0.4798,67.07,0.317,False,CHOPPY,2026-03-26,318
EXPD,0.4798,143.84,0.394,False,CHOPPY,2026-03-26,319
PLD,0.4797,129.79,0.214,False,CHOPPY,2026-03-26,320
SLB,0.4795,52.31,0.427,False,CHOPPY,2026-03-26,321
ET,0.4794,19.36,0.171,False,CHOPPY,2026-03-26,322
OXY,0.4793,63.72,0.38,False,CHOPPY,2026-03-26,323
ARM,0.4791,156.67,0.57,False,CHOPPY,2026-03-26,324
TMO,0.4788,491.33,0.272,False,CHOPPY,2026-03-26,325
MATX,0.4788,163.56,0.385,False,CHOPPY,2026-03-26,326
KNX,0.4786,55.49,0.409,False,CHOPPY,2026-03-26,327
MLM,0.4786,582.76,0.32,False,CHOPPY,2026-03-26,328
CE,0.4786,62.28,0.638,False,CHOPPY,2026-03-26,329
REG,0.4784,74.87,0.166,False,CHOPPY,2026-03-26,330
RPM,0.4784,97.96,0.289,False,CHOPPY,2026-03-26,331
PSX,0.4784,187.28,0.331,False,CHOPPY,2026-03-26,332
IR,0.4783,82.18,0.356,False,CHOPPY,2026-03-26,333
S,0.4779,13.37,0.483,False,CHOPPY,2026-03-26,334
BMY,0.4775,59.24,0.244,False,CHOPPY,2026-03-26,335
KHC,0.4773,21.85,0.287,False,CHOPPY,2026-03-26,336
ECL,0.4772,264.95,0.214,False,CHOPPY,2026-03-26,337
PH,0.4767,905.7,0.243,False,CHOPPY,2026-03-26,338
CMC,0.4765,61.28,0.356,False,CHOPPY,2026-03-26,339
FANG,0.4763,203.19,0.313,False,CHOPPY,2026-03-26,340
WERN,0.4763,28.94,0.474,False,CHOPPY,2026-03-26,341
PFE,0.4761,27.65,0.223,False,CHOPPY,2026-03-26,342
OLN,0.476,28.65,0.681,False,CHOPPY,2026-03-26,343
FAST,0.476,45.33,0.278,False,CHOPPY,2026-03-26,344
