symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,ml_rank_pct,rule_score,combined_score,side
MSFT,2018-01-19,2018-02-05,90.18506938934325,89.52258202985448,226,-150.852143244464,stop,0.9220055710306406,0.47501885152860457,1.0,long
NVDA,2018-01-25,2018-02-05,5.95297480916977,5.674711102228165,6764,-1915.9957137530143,stop,0.9721448467966574,0.5745813615032245,1.0,long
SCHW,2018-01-26,2018-02-05,54.39718393135071,51.46604854628285,444,-1303.6441109701304,stop,0.9136490250696379,0.43195458521288677,1.0,long
MS,2018-01-31,2018-02-05,56.738354084014894,53.922691057876,432,-1218.5264272920017,stop,0.8607242339832869,0.44074920171814147,1.0,long
ISRG,2018-01-31,2018-02-06,143.40499491119385,132.31261003875733,58,-643.6483226013185,stop,0.8969359331476323,0.4782330968819114,1.0,long
AIG,2018-02-05,2018-02-06,62.321145915985106,59.07632588661229,84,-272.9848824673167,stop,0.8440111420612814,0.2588650344631144,1.0,long
ENPH,2018-02-08,2018-02-08,2.521259980916977,2.3183994028523975,6845,-1422.8056568520472,stop,0.9805013927576601,0.6030937077819112,0.9626059388709897,long
FTNT,2018-01-29,2018-02-12,9.156576427459717,9.291351527214053,3,0.3893252992630073,max_hold,0.8690807799442897,0.4494244381543752,1.0,long
EBAY,2018-02-13,2018-02-26,42.01099667930603,43.80808683013916,357,639.7761838474268,max_hold,0.9665738161559888,0.4555070426987723,1.0,long
FTNT,2018-02-14,2018-02-26,9.590793442726136,10.05896812963486,1564,724.4052103252429,max_hold,0.9526462395543176,0.5446371880230126,0.9878231556847998,long
SHOP,2018-02-16,2018-02-28,13.55577428627014,13.814089599132537,1107,280.4200513386734,max_hold,0.9331476323119777,0.7326649157463742,0.9817956347813067,long
SEDG,2018-02-20,2018-03-05,45.52275,50.57469847488403,379,1912.7934719810469,max_hold,0.9944289693593314,0.698536103076642,0.9799128775772304,long
AMAT,2018-02-28,2018-03-12,57.928951526641846,60.93951622009277,259,778.4412556037893,max_hold,0.9442896935933147,0.42439772326562897,1.0,long
BKNG,2018-03-02,2018-03-22,2003.821356262207,2112.743148803711,7,762.4175477905275,max_hold,0.9554317548746518,0.5178869936449993,1.0,long
INTU,2018-03-05,2018-03-23,167.67379133605957,169.95725669779432,89,202.78341719439325,stop,0.9554317548746518,0.40676798849922446,0.925153623873559,long
SCHW,2018-03-15,2018-03-23,56.34815969467163,52.30065799800096,377,-1527.7931396448432,stop,0.8916666666666667,0.47647270910869743,1.0,long
BSX,2018-03-15,2018-03-23,28.08403469467163,26.71680996180809,1,-1.3722247328635406,stop,0.8305555555555556,0.36007838981310253,1.0,long
SHOP,2018-03-07,2018-03-26,14.001997385501861,13.665479302285837,1071,-365.7658671243619,stop,0.9665738161559888,0.6072201050681492,0.9868681692759484,long
NVDA,2018-03-16,2018-03-27,6.253125,5.641115985870126,1,-0.6170090141298737,stop,0.8555555555555555,0.48605291526145733,1.0,long
KBH,2018-03-14,2018-03-28,30.125055610656734,27.701193636223294,572,-1389.309049375927,stop,0.9972222222222222,0.2737829375013308,0.9611891468750666,long
LRCX,2018-03-15,2018-03-28,22.411199618339538,20.62344265697479,1796,-3219.7915026110836,stop,0.9805555555555555,0.6027148384464548,1.0,long
MU,2018-03-26,2018-03-28,56.28812832069397,51.75918551601094,435,-1972.2651200371197,stop,0.8388888888888889,0.5085337074968848,1.0,long
UNH,2018-03-23,2018-04-04,215.857875,228.67559828948976,68,871.2651836853029,max_hold,0.8305555555555556,0.22894549308821108,0.9950051478249251,long
ISRG,2018-03-26,2018-04-09,135.9946295928955,135.14905121612549,77,-65.49453501129163,max_hold,0.9,0.23572829270232845,1.0,long
BKNG,2018-03-27,2018-04-09,2138.498646606445,2047.7156202392578,6,-544.7281582031244,max_hold,0.9666666666666667,0.4529668740789255,1.0,long
TJX,2018-03-27,2018-04-09,40.48523265266419,41.284347805023195,45,35.73518185615534,max_hold,0.9555555555555556,0.3674620102447605,0.9933592175480949,long
CMG,2018-03-28,2018-04-09,6.44322005724907,6.33882900762558,1,-0.10939104962348989,max_hold,0.9,0.08677591809515167,1.0,long
SHOP,2018-04-11,2018-04-23,12.205099858760835,12.284854866027832,1414,105.70358027553286,max_hold,0.9944444444444445,0.18670898196355584,0.9907678596592568,long
NVDA,2018-04-12,2018-04-24,5.752875,5.527235209703446,3000,-691.9193708896637,max_hold,0.9722222222222222,0.19074195697082988,1.0,long
OXY,2018-04-12,2018-04-24,71.80588164138794,77.30132633972168,209,1147.502941951752,max_hold,0.9361111111111111,0.4786173098676436,1.0,long
NFLX,2018-04-18,2018-04-24,33.646816068649294,30.93959324776577,512,-1388.6580842923636,stop,0.9777777777777777,0.717366969789474,0.9658683484894737,long
LLY,2018-04-30,2018-05-01,83.13154133605957,79.10053342362417,168,-678.0493292891471,stop,0.961218836565097,0.34965743983438446,1.0,long
SNAP,2018-04-27,2018-05-02,14.75,11.035514732837678,1694,6283.8680425729735,short_take_profit,0.1440443213296399,0.0,,short
OXY,2018-04-25,2018-05-03,77.288625,77.25135591506958,223,-9.426005939482527,max_hold,0.9750692520775623,0.48285255936694993,1.0,long
ETSY,2018-05-09,2018-05-09,30.705345534324646,28.234793432632884,488,-1208.06942562558,stop,0.9445983379501385,0.622322726426781,1.0,long
OLN,2018-04-27,2018-05-09,30.770000457763672,32.63250858547211,812,-1516.4165996992513,short_stop,0.1329639889196676,0.0,,short
O,2018-04-27,2018-05-10,48.77907180786133,51.73166902439118,512,-1514.2897748632845,short_stop,0.027700831024930747,0.0,,short
NVDA,2018-05-08,2018-05-15,6.220358495235443,6.036109795647633,2774,-524.9758926565852,stop,0.9833795013850416,0.6129095050057036,1.0,long
TTD,2018-05-14,2018-05-15,7.554775618314743,7.376550167636872,2284,-418.48692934825607,stop,1.0,1.0,1.0,long
MMC,2018-04-27,2018-05-17,82.30999755859375,81.0405,303,383.14276025390797,short_max_hold,0.08033240997229917,0.0,,short
HOG,2018-04-27,2018-05-17,41.56999969482422,42.59128469467163,601,-616.7972849082934,short_max_hold,0.07756232686980609,0.0,,short
CCI,2018-04-27,2018-05-17,102.91999816894533,101.96095866394043,242,230.8775602111847,short_max_hold,0.08310249307479224,0.0,,short
