symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,ml_rank_pct,rule_score,combined_score,side
FTNT,2021-12-09,2021-12-21,64.60828439712525,67.81607347488404,541,1732.7088910675052,max_hold,0.9404145077720207,0.2505419922891115,1.0,long
PG,2021-12-09,2021-12-21,152.38615255737304,157.68111450958253,28,148.11893466186575,max_hold,0.9378238341968912,0.4606990405679962,1.0,long
NVDA,2021-12-14,2021-12-27,27.71284890460968,30.929527194976806,1128,3622.77311153412,max_hold,0.9896373056994818,0.369128912002874,1.0,long
NRG,2021-12-20,2022-01-03,39.969975763320925,42.93851908493042,613,1816.6520561466205,max_hold,0.8186528497409327,0.48355810521966724,0.9912435113021176,long
AA,2021-12-21,2022-01-03,53.826899236679075,60.32982061004639,650,4223.648892688754,max_hold,0.9664082687338501,0.5139877355708362,0.9211662154175487,long
ANET,2021-12-21,2022-01-03,33.801892347335816,35.542221372604374,867,1504.5302649078396,max_hold,0.9612403100775194,0.5164142682030987,0.9167577058900773,long
NET,2021-12-28,2022-01-03,140.88040255737306,123.91276687336304,207,-3513.335586590074,stop,0.9664948453608248,0.1238546633355994,1.0,long
MO,2021-12-23,2022-01-04,46.82339923667908,49.00548377990722,523,1138.615216108319,max_hold,0.8479381443298969,0.08912079625987417,1.0,long
CL,2021-12-23,2022-01-04,82.51123622131348,84.82756774520874,93,214.95383172225897,max_hold,0.8402061855670103,0.30865401795306874,1.0,long
AVGO,2022-01-04,2022-01-07,66.32114601516723,62.97024576669011,369,-1238.3271916880562,stop,0.8303341902313625,0.5562078862042367,1.0,long
INTU,2022-01-05,2022-01-07,609.7347076721192,563.9019449031351,66,-3025.292342752946,stop,0.9948586118251928,0.2665802402340855,1.0,long
ORCL,2022-01-04,2022-01-18,87.94395152664184,85.50722805023193,278,-678.7991264419549,max_hold,0.8637532133676092,0.22216963467611223,1.0,long
NVDA,2022-01-05,2022-01-18,28.963473904609682,25.890048377990723,846,-2604.347995519639,max_hold,0.8611825192802056,0.33040341524659905,1.0,long
FTNT,2022-01-06,2022-01-18,58.92744780921936,61.66315324401855,683,1865.071811967849,max_hold,0.9845758354755784,0.1926900784870289,1.0,long
AAPL,2022-01-06,2022-01-18,172.78634694671632,169.71510305023193,47,-144.58346313476633,max_hold,0.9074550128534704,0.41009344822668853,0.9996278852107787,long
PINS,2022-01-20,2022-01-20,32.349998474121094,31.965975763320923,618,234.2360352745054,regime_cover,0.002564102564102564,-0.2661304937964195,0.0,short
MSFT,2022-01-10,2022-01-24,309.6447352294922,290.3856507510726,79,-1521.862673795148,stop,0.8329048843187661,0.2177453502225128,0.9981516782402304,long
NEM,2022-01-10,2022-01-24,59.23960408401489,63.04846183013916,413,1570.9932491493225,max_hold,0.8149100257069408,0.07123575829053269,0.9923270826135021,long
ROK,2022-01-20,2022-01-27,317.17849900817873,287.3100541301245,61,-1822.2801375613074,stop,0.8,0.20093615954896452,0.9473198284222676,long
BOOT,2022-01-25,2022-01-28,95.10752755737306,86.4255674789429,282,-2449.7227421173066,stop,0.9820971867007673,0.1577312893537072,0.8996605969660613,long
