symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,year
ZG,2015-10-29 00:00:00,2015-11-05 00:00:00,30.581040458679198,28.203480228424073,409,-972.4221341743458,max_hold,7,2015
DHI,2015-11-09 00:00:00,2015-11-11 00:00:00,28.8275404586792,31.955960456848146,434,1357.7342792053232,rsi_exit,2,2015
AVB,2015-11-06 00:00:00,2015-11-13 00:00:00,173.29589694213868,172.29471939086915,72,-72.08478369140653,max_hold,7,2015
PM,2015-11-09 00:00:00,2015-11-16 00:00:00,85.4205,84.18129847717285,146,-180.9234223327652,max_hold,7,2015
MDLZ,2015-11-11 00:00:00,2015-11-18 00:00:00,44.55894122314453,44.391039543151855,281,-47.18037207794146,max_hold,7,2015
PEP,2015-11-11 00:00:00,2015-11-18 00:00:00,99.62886030578613,100.06945664978028,125,55.07454299926806,max_hold,7,2015
MO,2015-11-11 00:00:00,2015-11-18 00:00:00,57.324419082641604,56.945881370544434,218,-82.52122123718311,max_hold,7,2015
GIS,2015-11-11 00:00:00,2015-11-18 00:00:00,57.24426107025146,57.05565817260742,218,-41.11543168640041,max_hold,7,2015
CPB,2015-11-11 00:00:00,2015-11-18 00:00:00,48.967738929748535,48.941920913696286,255,-6.583594093323377,max_hold,7,2015
FDS,2015-11-13 00:00:00,2015-11-20 00:00:00,167.28389694213868,169.8096939086914,74,186.90897552490117,max_hold,7,2015
GD,2015-11-17 00:00:00,2015-11-24 00:00:00,143.15573510742186,145.23893878173828,87,181.23871966552875,max_hold,7,2015
CZR,2015-11-18 00:00:00,2015-11-25 00:00:00,8.957879579544068,9.241480228424072,1398,396.47370713424533,max_hold,7,2015
PGR,2015-11-20 00:00:00,2015-11-27 00:00:00,31.643159923553466,31.05776083755493,395,-231.2326389694214,max_hold,7,2015
RARE,2015-11-20 00:00:00,2015-11-27 00:00:00,94.10783816528321,100.61835969543458,133,865.8993635101316,max_hold,7,2015
MDLZ,2015-11-20 00:00:00,2015-11-27 00:00:00,44.037900764465334,44.331158172607424,284,83.28510391235343,max_hold,7,2015
SPG,2015-11-20 00:00:00,2015-11-27 00:00:00,192.61445571899412,189.62,65,-194.63962173461766,max_hold,7,2015
MGM,2015-11-23 00:00:00,2015-11-27 00:00:00,22.715340076446534,22.724460456848146,551,5.025329601288092,regime_exit,4,2015
CE,2015-12-07 00:00:00,2015-12-14 00:00:00,68.1760809173584,64.90992091369628,183,-597.7072806701684,max_hold,7,2015
MATX,2015-12-08 00:00:00,2015-12-15 00:00:00,47.24430152893066,44.00182015228272,265,-859.2575648117053,max_hold,7,2015
CBOE,2015-12-09 00:00:00,2015-12-15 00:00:00,64.38852214050293,67.25521939086914,194,556.1392665710457,regime_exit,6,2015
HOLX,2015-12-09 00:00:00,2015-12-15 00:00:00,37.56498168182373,38.423,333,285.7200999526981,regime_exit,6,2015
PSX,2015-12-09 00:00:00,2015-12-15 00:00:00,86.2621763305664,81.61643878173828,145,-673.6319445800779,regime_exit,6,2015
VMC,2015-12-09 00:00:00,2015-12-15 00:00:00,94.90944122314453,95.35890304565429,131,58.8794987487787,regime_exit,6,2015
PCTY,2015-12-10 00:00:00,2015-12-15 00:00:00,41.68319847106934,40.57867984771728,300,-331.35558700561705,regime_exit,5,2015
MGM,2015-12-14 00:00:00,2015-12-15 00:00:00,20.85161946487427,21.107699619293214,600,153.64809265136756,regime_exit,1,2015
ERIE,2016-03-14 00:00:00,2016-03-21 00:00:00,90.36036030578613,91.96570152282715,138,221.53708795166014,max_hold,7,2016
CGNX,2016-04-08 00:00:00,2016-04-14 00:00:00,18.657240840911864,19.346230228424073,671,462.31187902069183,rsi_exit,6,2016
JBHT,2016-04-08 00:00:00,2016-04-15 00:00:00,83.13594122314453,85.25914030456543,150,318.479862213136,rsi_exit,7,2016
CHRW,2016-04-08 00:00:00,2016-04-15 00:00:00,71.98367633056641,73.362982131958,173,238.61990364074597,max_hold,7,2016
